id,name_sci,name_en,name_sv
8364,Alcippe peracensis,Mountain Fulvetta,bergalkippa
8365,Grammatoptila striata,Striated Laughingthrush,vitstreckad fnittertrast
8366,Cutia nipalensis,Himalayan Cutia,vitbukig kutia
8367,Cutia legalleni,Vietnamese Cutia,vietnamkutia
8368,Laniellus langbianis,Grey-crowned Crocias,dalatkrokia
8369,Laniellus albonotatus,Spotted Crocias,javakrokia
8370,Trochalopteron subunicolor,Scaly Laughingthrush,fjällig fnittertrast
8371,Trochalopteron austeni,Brown-capped Laughingthrush,brun fnittertrast
8372,Trochalopteron squamatum,Blue-winged Laughingthrush,blåvingad fnittertrast
8373,Trochalopteron lineatum,Streaked Laughingthrush,himalayafnittertrast
8374,Trochalopteron imbricatum,Bhutan Laughingthrush,bhutanfnittertrast
8375,Trochalopteron virgatum,Striped Laughingthrush,strimmig fnittertrast
8376,Trochalopteron variegatum,Variegated Laughingthrush,gråvingad fnittertrast
8377,Trochalopteron affine,Black-faced Laughingthrush,svartkindad fnittertrast
8378,Trochalopteron morrisonianum,White-whiskered Laughingthrush,taiwanfnittertrast
8379,Trochalopteron henrici,Brown-cheeked Laughingthrush,brunkindad fnittertrast
8380,Trochalopteron elliotii,Elliot's Laughingthrush,elliotfnittertrast
8381,Trochalopteron milnei,Red-tailed Laughingthrush,rödstjärtad fnittertrast
8382,Trochalopteron yersini,Collared Laughingthrush,rostkragad fnittertrast
8383,Trochalopteron erythrocephalum,Chestnut-crowned Laughingthrush,kastanjekronad fnittertrast
8384,Trochalopteron chrysopterum,Assam Laughingthrush,assamfnittertrast
8385,Trochalopteron formosum,Red-winged Laughingthrush,rödvingad fnittertrast
8386,Trochalopteron melanostigma,Silver-eared Laughingthrush,silverkindad fnittertrast
8387,Trochalopteron ngoclinhense,Golden-winged Laughingthrush,gråryggig fnittertrast
8388,Trochalopteron peninsulae,Malayan Laughingthrush,malackafnittertrast
8389,Montecincla jerdoni,Banasura Laughingthrush,banasurafnittertrast
8390,Montecincla cachinnans,Nilgiri Laughingthrush,nilgirifnittertrast
8391,Montecincla fairbanki,Palani Laughingthrush,palanifnittertrast
8392,Montecincla meridionalis,Ashambu Laughingthrush,ashambufnittertrast
8393,Heterophasia picaoides,Long-tailed Sibia,långstjärtad sibia
8394,Heterophasia auricularis,White-eared Sibia,taiwansibia
8395,Heterophasia capistrata,Rufous Sibia,rostsibia
8396,Heterophasia pulchella,Beautiful Sibia,blågrå sibia
8397,Heterophasia gracilis,Grey Sibia,gråsibia
8398,Heterophasia melanoleuca,Dark-backed Sibia,svartvit sibia
8399,Heterophasia desgodinsi,Black-headed Sibia,svarthuvad sibia
8400,Actinodura nipalensis,Hoary-throated Barwing,himalayabandvinge
8401,Actinodura morrisoniana,Taiwan Barwing,taiwanbandvinge
8402,Actinodura waldeni,Streak-throated Barwing,waldenbandvinge
8403,Actinodura souliei,Streaked Barwing,streckbandvinge
8404,Actinodura cyanouroptera,Blue-winged Minla,blåstjärtad bandvinge
8405,Actinodura strigula,Bar-throated Minla,rostkronad bandvinge
8406,Actinodura egertoni,Rusty-fronted Barwing,brunpannad bandvinge
8407,Actinodura ramsayi,Spectacled Barwing,glasögonbandvinge
8408,Actinodura sodangorum,Black-crowned Barwing,svartkronad bandvinge
8409,Leiothrix lutea,Red-billed Leiothrix,rödnäbbad sångtimalia
8410,Leiothrix argentauris,Silver-eared Mesia,silverörad sångtimalia
8411,Minla ignotincta,Red-tailed Minla,rödstjärtad minla
8412,Leioptila annectens,Rufous-backed Sibia,rostryggig minla
8413,Liocichla bugunorum,Bugun Liocichla,bugunprakttimalia
8414,Liocichla omeiensis,Emei Shan Liocichla,emeiprakttimalia
8415,Liocichla steerii,Steere's Liocichla,taiwanprakttimalia
8416,Liocichla phoenicea,Red-faced Liocichla,rostprakttimalia
8417,Liocichla ripponi,Scarlet-faced Liocichla,rödkindad prakttimalia
8418,Argya malcolmi,Large Grey Babbler,grå skriktrast
8419,Argya cinereifrons,Ashy-headed Laughingthrush,gråhuvad skriktrast
8420,Argya longirostris,Slender-billed Babbler,brahmaputraskriktrast
8421,Argya subrufa,Rufous Babbler,gråpannad skriktrast
8422,Argya rufescens,Orange-billed Babbler,ceylonskriktrast
8423,Argya striata,Jungle Babbler,indisk skriktrast
8424,Argya affinis,Yellow-billed Babbler,ljushuvad skriktrast
8425,Argya rubiginosa,Rufous Chatterer,rostskriktrast
8426,Argya aylmeri,Scaly Chatterer,fjällstrupig skriktrast
8427,Argya altirostris,Iraq Babbler,irakskriktrast
8428,Argya huttoni,Afghan Babbler,afghanskriktrast
8429,Argya caudata,Common Babbler,orientskriktrast
8430,Argya fulva,Fulvous Babbler,saharaskriktrast
8431,Argya squamiceps,Arabian Babbler,arabskriktrast
8432,Argya earlei,Striated Babbler,flodskriktrast
8433,Argya gularis,White-throated Babbler,vitstrupig skriktrast
8434,Turdoides nipalensis,Spiny Babbler,nepalskriktrast
8435,Turdoides atripennis,Capuchin Babbler,kapuschongskriktrast
8436,Turdoides gilberti,White-throated Mountain Babbler,kupeskriktrast
8437,Turdoides chapini,Chapin's Babbler,chapinskriktrast
8438,Turdoides rufocinctus,Red-collared Babbler,rosthalsad skriktrast
8439,Turdoides plebejus,Brown Babbler,brunskriktrast
8440,Turdoides leucopygia,White-rumped Babbler,vitgumpad skriktrast
8441,Turdoides hindei,Hinde's Babbler,kenyaskriktrast
8442,Turdoides squamulata,Scaly Babbler,fjällig skriktrast
8443,Turdoides jardineii,Arrow-marked Babbler,fläckig skriktrast
8444,Turdoides gymnogenys,Bare-cheeked Babbler,nakenkindad skriktrast
8445,Turdoides leucocephala,White-headed Babbler,vithuvad skriktrast
8446,Turdoides reinwardtii,Blackcap Babbler,svarthuvad skriktrast
8447,Turdoides tenebrosa,Dusky Babbler,mörk skriktrast
8448,Turdoides bicolor,Southern Pied Babbler,svartvit skriktrast
8449,Turdoides hartlaubii,Hartlaub's Babbler,hartlaubskriktrast
8450,Turdoides sharpei,Black-lored Babbler,tygelskriktrast
8451,Turdoides melanops,Black-faced Babbler,ovamboskriktrast
8452,Turdoides hypoleuca,Northern Pied Babbler,brokskriktrast
8453,Garrulax merulinus,Spot-breasted Laughingthrush,fläckbröstad fnittertrast
8454,Garrulax annamensis,Orange-breasted Laughingthrush,orangebröstad fnittertrast
8455,Garrulax canorus,Chinese Hwamei,kinesisk sångfnittertrast
8456,Garrulax taewanus,Taiwan Hwamei,taiwanesisk sångfnittertrast
8457,Garrulax monileger,Lesser Necklaced Laughingthrush,halsbandsfnittertrast
8458,Garrulax rufifrons,Rufous-fronted Laughingthrush,rostpannad fnittertrast
8459,Garrulax palliatus,Sunda Laughingthrush,sundafnittertrast
8460,Garrulax leucolophus,White-crested Laughingthrush,vittofsad fnittertrast
8461,Garrulax bicolor,Sumatran Laughingthrush,sumatrafnittertrast
8462,Garrulax milleti,Black-hooded Laughingthrush,svarthuvad fnittertrast
8463,Garrulax strepitans,White-necked Laughingthrush,vithalsad fnittertrast
8464,Garrulax ferrarius,Cambodian Laughingthrush,kambodjafnittertrast
8465,Garrulax maesi,Grey Laughingthrush,grå fnittertrast
8466,Garrulax castanotis,Rufous-cheeked Laughingthrush,rostkindad fnittertrast
8467,Ianthocincla sukatschewi,Snowy-cheeked Laughingthrush,sukatsjovfnittertrast
8468,Ianthocincla rufogularis,Rufous-chinned Laughingthrush,rosthakad fnittertrast
8469,Ianthocincla konkakinhensis,Chestnut-eared Laughingthrush,konkakinhfnittertrast
8470,Ianthocincla cineracea,Moustached Laughingthrush,mustaschfnittertrast
8471,Ianthocincla ocellata,Spotted Laughingthrush,pärlfnittertrast
8472,Ianthocincla maxima,Giant Laughingthrush,större fnittertrast
8473,Ianthocincla bieti,White-speckled Laughingthrush,bietfnittertrast
8474,Ianthocincla lunulata,Barred Laughingthrush,bandad fnittertrast
8475,Pterorhinus delesserti,Wayanad Laughingthrush,ghatsfnittertrast
8476,Pterorhinus gularis,Rufous-vented Laughingthrush,gulbröstad fnittertrast
8477,Pterorhinus vassali,White-cheeked Laughingthrush,vitkindad fnittertrast
8478,Pterorhinus galbanus,Yellow-throated Laughingthrush,gulstrupig fnittertrast
8479,Pterorhinus courtoisi,Blue-crowned Laughingthrush,blåkronad fnittertrast
8480,Pterorhinus mitratus,Chestnut-capped Laughingthrush,brunhättad fnittertrast
8481,Pterorhinus treacheri,Chestnut-hooded Laughingthrush,brunhuvad fnittertrast
8482,Pterorhinus ruficollis,Rufous-necked Laughingthrush,rosthalsad fnittertrast
8483,Pterorhinus nuchalis,Chestnut-backed Laughingthrush,brunryggig fnittertrast
8484,Pterorhinus chinensis,Black-throated Laughingthrush,svartstrupig fnittertrast
8485,Pterorhinus sannio,White-browed Laughingthrush,vitbrynad fnittertrast
8486,Pterorhinus perspicillatus,Masked Laughingthrush,svartmaskad fnittertrast
8487,Pterorhinus pectoralis,Greater Necklaced Laughingthrush,kragfnittertrast
8488,Pterorhinus davidi,Plain Laughingthrush,nordlig fnittertrast
8489,Pterorhinus woodi,Mount Victoria Babax,chinbabax
8490,Pterorhinus lanceolatus,Chinese Babax,kinesisk babax
8491,Pterorhinus waddelli,Giant Babax,större babax
8492,Pterorhinus koslowi,Tibetan Babax,koslovbabax
8493,Pterorhinus albogularis,White-throated Laughingthrush,vitstrupig fnittertrast
8494,Pterorhinus ruficeps,Rufous-crowned Laughingthrush,rostkronad fnittertrast
8495,Pterorhinus caerulatus,Grey-sided Laughingthrush,gråsidig fnittertrast
8496,Pterorhinus berthemyi,Buffy Laughingthrush,kinesisk fnittertrast
8497,Pterorhinus poecilorhynchus,Rusty Laughingthrush,rostfnittertrast
8498,Modulatrix stictigula,Spot-throat,prickhake
8499,Arcanator orostruthus,Dapple-throat,fläckhake
8500,Kakamega poliothorax,Grey-chested Babbler,kakameg
8501,Promerops cafer,Cape Sugarbird,kapsockerfågel
8502,Promerops gurneyi,Gurney's Sugarbird,gurneysockerfågel
8503,Irena puella,Asian Fairy-bluebird,indisk blåfågel
8504,Irena tweeddalii,Palawan Fairy-bluebird,palawanblåfågel
8505,Irena cyanogastra,Philippine Fairy-bluebird,filippinblåfågel
8506,Corthylio calendula,Ruby-crowned Kinglet,rödkronad kungsfågel
8507,Regulus ignicapilla,Common Firecrest,brandkronad kungsfågel
8508,Regulus madeirensis,Madeira Firecrest,madeirakungsfågel
8509,Regulus satrapa,Golden-crowned Kinglet,guldkronad kungsfågel
8510,Regulus goodfellowi,Flamecrest,taiwankungsfågel
8511,Regulus regulus,Goldcrest,kungsfågel
8512,Elachura formosa,Spotted Elachura,pärlsmyg
8513,Hyliota flavigaster,Yellow-bellied Hyliota,gulbukig hyliota
8514,Hyliota australis,Southern Hyliota,miombohyliota
8515,Hyliota usambara,Usambara Hyliota,usambarahyliota
8516,Hyliota violacea,Violet-backed Hyliota,violettryggig hyliota
8517,Campylorhynchus albobrunneus,White-headed Wren,vithuvad gärdsmyg
8518,Campylorhynchus zonatus,Band-backed Wren,bandryggig gärdsmyg
8519,Campylorhynchus megalopterus,Grey-barred Wren,gråbandad gärdsmyg
8520,Campylorhynchus nuchalis,Stripe-backed Wren,gulögd gärdsmyg
8521,Campylorhynchus fasciatus,Fasciated Wren,zebragärdsmyg
8522,Campylorhynchus chiapensis,Giant Wren,jättegärdsmyg
8523,Campylorhynchus griseus,Bicolored Wren,tvåfärgad gärdsmyg
8524,Campylorhynchus rufinucha,Veracruz Wren,veracruzgärdsmyg
8525,Campylorhynchus humilis,Sclater's Wren,sclatergärdsmyg
8526,Campylorhynchus capistratus,Rufous-backed Wren,kastanjeryggig gärdsmyg
8527,Campylorhynchus gularis,Spotted Wren,fläckgärdsmyg
8528,Campylorhynchus jocosus,Boucard's Wren,boucardgärdsmyg
8529,Campylorhynchus yucatanicus,Yucatan Wren,yucatángärdsmyg
8530,Campylorhynchus brunneicapillus,Cactus Wren,kaktusgärdsmyg
8531,Campylorhynchus turdinus,Thrush-like Wren,trastgärdsmyg
8532,Odontorchilus branickii,Grey-mantled Wren,bergtandgärdsmyg
8533,Odontorchilus cinereus,Tooth-billed Wren,amazontandgärdsmyg
8534,Salpinctes obsoletus,Rock Wren,klippgärdsmyg
8535,Catherpes mexicanus,Canyon Wren,kanjongärdsmyg
8536,Hylorchilus sumichrasti,Sumichrast's Wren,karstgärdsmyg
8537,Hylorchilus navai,Nava's Wren,navagärdsmyg
8538,Cinnycerthia unirufa,Rufous Wren,rostgärdsmyg
8539,Cinnycerthia olivascens,Sepia-brown Wren,sepiagärdsmyg
8540,Cinnycerthia peruana,Peruvian Wren,perugärdsmyg
8541,Cinnycerthia fulva,Fulvous Wren,rödbrun gärdsmyg
8542,Cistothorus stellaris,Sedge Wren,starrgärdsmyg
8543,Cistothorus meridae,Merida Wren,méridagärdsmyg
8544,Cistothorus apolinari,Apolinar's Wren,apolinargärdsmyg
8545,Cistothorus platensis,Grass Wren,gräsgärdsmyg
8546,Cistothorus palustris,Marsh Wren,kärrgärdsmyg
8547,Thryomanes bewickii,Bewick's Wren,snårgärdsmyg
8548,Ferminia cerverai,Zapata Wren,zapatagärdsmyg
8549,Pheugopedius atrogularis,Black-throated Wren,svartstrupig gärdsmyg
8550,Pheugopedius spadix,Sooty-headed Wren,sothuvad gärdsmyg
8551,Pheugopedius fasciatoventris,Black-bellied Wren,svartbukig gärdsmyg
8552,Pheugopedius euophrys,Plain-tailed Wren,roststjärtad gärdsmyg
8553,Pheugopedius eisenmanni,Inca Wren,inkagärdsmyg
8554,Pheugopedius genibarbis,Moustached Wren,mustaschgärdsmyg
8555,Pheugopedius mystacalis,Whiskered Wren,andinsk gärdsmyg
8556,Pheugopedius coraya,Coraya Wren,corayagärdsmyg
8557,Pheugopedius felix,Happy Wren,västmexikansk gärdsmyg
8558,Pheugopedius maculipectus,Spot-breasted Wren,fläckbröstad gärdsmyg
8559,Pheugopedius rutilus,Rufous-breasted Wren,rostbröstad gärdsmyg
8560,Pheugopedius sclateri,Speckle-breasted Wren,marmorgärdsmyg
8561,Thryophilus pleurostictus,Banded Wren,bandgärdsmyg
8562,Thryophilus rufalbus,Rufous-and-white Wren,rostryggig gärdsmyg
8563,Thryophilus sernai,Antioquia Wren,caucagärdsmyg
8564,Thryophilus nicefori,Niceforo's Wren,santandergärdsmyg
8565,Thryophilus sinaloa,Sinaloa Wren,sinaloagärdsmyg
8566,Cantorchilus modestus,Cabanis's Wren,kanelgärdsmyg
8567,Cantorchilus zeledoni,Canebrake Wren,zeledóngärdsmyg 
8568,Cantorchilus elutus,Isthmian Wren,panamagärdsmyg 
8569,Cantorchilus leucotis,Buff-breasted Wren,beigebröstad gärdsmyg
8570,Cantorchilus superciliaris,Superciliated Wren,vitbrynad gärdsmyg
8571,Cantorchilus guarayanus,Fawn-breasted Wren,guarayosgärdsmyg
8572,Cantorchilus longirostris,Long-billed Wren,långnäbbad gärdsmyg
8573,Cantorchilus griseus,Grey Wren,grå gärdsmyg
8574,Cantorchilus semibadius,Riverside Wren,flodgärdsmyg
8575,Cantorchilus nigricapillus,Bay Wren,kastanjegärdsmyg
8576,Cantorchilus thoracicus,Stripe-breasted Wren,strimbröstad gärdsmyg
8577,Cantorchilus leucopogon,Stripe-throated Wren,strimstrupig gärdsmyg
8578,Thryothorus ludovicianus,Carolina Wren,karolinagärdsmyg
8579,Troglodytes troglodytes,Eurasian Wren,gärdsmyg
8580,Troglodytes hiemalis,Winter Wren,vintergärdsmyg 
8581,Troglodytes pacificus,Pacific Wren,stillahavsgärdsmyg
8582,Troglodytes tanneri,Clarion Wren,clarióngärdsmyg
8583,Troglodytes aedon,House Wren,husgärdsmyg
8584,Troglodytes cobbi,Cobb's Wren,falklandsgärdsmyg
8585,Troglodytes sissonii,Socorro Wren,socorrogärdsmyg
8586,Troglodytes rufociliatus,Rufous-browed Wren,rostbrynad gärdsmyg
8587,Troglodytes ochraceus,Ochraceous Wren,ockragärdsmyg
8588,Troglodytes solstitialis,Mountain Wren,berggärdsmyg
8589,Troglodytes monticola,Santa Marta Wren,santamartagärdsmyg
8590,Troglodytes rufulus,Tepui Wren,tepuígärdsmyg
8591,Thryorchilus browni,Timberline Wren,trädgränsgärdsmyg
8592,Uropsila leucogastra,White-bellied Wren,bromeliagärdsmyg
8593,Henicorhina leucosticta,White-breasted Wood Wren,vitbröstad skogsgärdsmyg
8594,Henicorhina leucophrys,Grey-breasted Wood Wren,gråbröstad skogsgärdsmyg
8595,Henicorhina anachoreta,Hermit Wood Wren,santamartaskogsgärdsmyg 
8596,Henicorhina leucoptera,Bar-winged Wood Wren,bandvingad skogsgärdsmyg
8597,Henicorhina negreti,Munchique Wood Wren,munchiqueskogsgärdsmyg
8598,Microcerculus philomela,Northern Nightingale-Wren,nordlig näktergalsgärdsmyg
8599,Microcerculus marginatus,Southern Nightingale-Wren,sydlig näktergalsgärdsmyg
8600,Microcerculus ustulatus,Flutist Wren,flöjtgärdsmyg
8601,Microcerculus bambla,Wing-banded Wren,bamblagärdsmyg
8602,Cyphorhinus thoracicus,Chestnut-breasted Wren,kastanjebröstad gärdsmyg
8603,Cyphorhinus arada,Musician Wren,musikergärdsmyg
8604,Cyphorhinus phaeocephalus,Song Wren,sånggärdsmyg
8605,Ramphocaenus sticturus,Chattering Gnatwren,tjatterknottsmyg
8606,Ramphocaenus melanurus,Trilling Gnatwren,drillknottsmyg
8607,Microbates cinereiventris,Tawny-faced Gnatwren,rostkindad knottsmyg
8608,Microbates collaris,Collared Gnatwren,halsbandsknottsmyg
8609,Polioptila facilis,Rio Negro Gnatcatcher,rionegromyggsnappare
8610,Polioptila guianensis,Guianan Gnatcatcher,guyanamyggsnappare
8611,Polioptila schistaceigula,Slate-throated Gnatcatcher,skiffermyggsnappare
8612,Polioptila paraensis,Para Gnatcatcher,amazonmyggsnappare
8613,Polioptila clementsi,Iquitos Gnatcatcher,iquitosmyggsnappare
8614,Polioptila attenboroughi,Inambari Gnatcatcher,inambarimyggsnappare
8615,Polioptila plumbea,Tropical Gnatcatcher,blygrå myggsnappare
8616,Polioptila lactea,Creamy-bellied Gnatcatcher,gräddbukig myggsnappare
8617,Polioptila dumicola,Masked Gnatcatcher,svartmaskad myggsnappare
8618,Polioptila lembeyei,Cuban Gnatcatcher,kubamyggsnappare
8619,Polioptila albiventris,Yucatan Gnatcatcher,yucatánmyggsnappare
8620,Polioptila bilineata,White-browed Gnatcatcher,vitbrynad myggsnappare
8621,Polioptila caerulea,Blue-grey Gnatcatcher,svartbrynad myggsnappare
8622,Polioptila melanura,Black-tailed Gnatcatcher,ökenmyggsnappare
8623,Polioptila californica,California Gnatcatcher,californiamyggsnappare
8624,Polioptila nigriceps,Black-capped Gnatcatcher,svarthuvad myggsnappare
8625,Polioptila albiloris,White-lored Gnatcatcher,vittyglad myggsnappare
8626,Sitta leucopsis,White-cheeked Nuthatch,vitkindad nötväcka
8627,Sitta przewalskii,Przevalski's Nuthatch,przjevalskijnötväcka
8628,Sitta magna,Giant Nuthatch,jättenötväcka
8629,Sitta carolinensis,White-breasted Nuthatch,vitbröstad nötväcka
8630,Sitta formosa,Beautiful Nuthatch,praktnötväcka
8631,Sitta azurea,Blue Nuthatch,blånötväcka
8632,Sitta frontalis,Velvet-fronted Nuthatch,rödnäbbad nötväcka
8633,Sitta solangiae,Yellow-billed Nuthatch,gulnäbbad nötväcka
8634,Sitta oenochlamys,Sulphur-billed Nuthatch,filippinnötväcka
8635,Sitta pygmaea,Pygmy Nuthatch,ponderosanötväcka
8636,Sitta pusilla,Brown-headed Nuthatch,brunhuvad nötväcka
8637,Sitta insularis,Bahama Nuthatch,bahamanötväcka
8638,Sitta yunnanensis,Yunnan Nuthatch,yunnannötväcka
8639,Sitta ledanti,Algerian Nuthatch,kabylnötväcka
8640,Sitta krueperi,Krüper's Nuthatch,Krüpers nötväcka
8641,Sitta canadensis,Red-breasted Nuthatch,rödbröstad nötväcka
8642,Sitta whiteheadi,Corsican Nuthatch,korsikansk nötväcka
8643,Sitta villosa,Chinese Nuthatch,kinesisk nötväcka
8644,Sitta neumayer,Western Rock Nuthatch,klippnötväcka
8645,Sitta tephronota,Eastern Rock Nuthatch,östlig klippnötväcka
8646,Sitta arctica,Siberian Nuthatch,jakutisk nötväcka
8647,Sitta victoriae,White-browed Nuthatch,victorianötväcka
8648,Sitta himalayensis,White-tailed Nuthatch,himalayanötväcka
8649,Sitta europaea,Eurasian Nuthatch,nötväcka
8650,Sitta nagaensis,Chestnut-vented Nuthatch,naganötväcka
8651,Sitta cashmirensis,Kashmir Nuthatch,kashmirnötväcka
8652,Sitta castanea,Indian Nuthatch,kastanjenötväcka
8653,Sitta cinnamoventris,Chestnut-bellied Nuthatch,kanelnötväcka
8654,Sitta neglecta,Burmese Nuthatch,burmanötväcka
8655,Tichodroma muraria,Wallcreeper,murkrypare
8656,Certhia familiaris,Eurasian Treecreeper,trädkrypare
8657,Certhia hodgsoni,Hodgson's Treecreeper,hodgsonträdkrypare
8658,Certhia americana,Brown Creeper,amerikansk trädkrypare
8659,Certhia brachydactyla,Short-toed Treecreeper,trädgårdsträdkrypare
8660,Certhia himalayana,Bar-tailed Treecreeper,himalayaträdkrypare
8661,Certhia nipalensis,Rusty-flanked Treecreeper,nepalträdkrypare
8662,Certhia discolor,Sikkim Treecreeper,sikkimträdkrypare
8663,Certhia manipurensis,Hume's Treecreeper,manipurträdkrypare
8664,Certhia tianquanensis,Sichuan Treecreeper,sichuanträdkrypare
8665,Salpornis spilonota,Indian Spotted Creeper,indisk fläckkrypare
8666,Salpornis salvadori,African Spotted Creeper,afrikansk fläckkrypare
8667,Dumetella carolinensis,Grey Catbird,grå kattfågel
8668,Melanoptila glabrirostris,Black Catbird,svart kattfågel
8669,Mimus polyglottos,Northern Mockingbird,nordlig härmtrast
8670,Mimus gilvus,Tropical Mockingbird,tropikhärmtrast
8671,Mimus gundlachii,Bahama Mockingbird,bahamahärmtrast
8672,Mimus thenca,Chilean Mockingbird,chilehärmtrast
8673,Mimus longicaudatus,Long-tailed Mockingbird,långstjärtad härmtrast
8674,Mimus saturninus,Chalk-browed Mockingbird,camposhärmtrast
8675,Mimus patagonicus,Patagonian Mockingbird,patagonienhärmtrast
8676,Mimus triurus,White-banded Mockingbird,vitbandad härmtrast
8677,Mimus dorsalis,Brown-backed Mockingbird,brunryggig härmtrast
8678,Mimus parvulus,Galapagos Mockingbird,galápagoshärmtrast
8679,Mimus trifasciatus,Floreana Mockingbird,floreanahärmtrast
8680,Mimus macdonaldi,Espanola Mockingbird,españolahärmtrast
8681,Mimus melanotis,San Cristobal Mockingbird,sancristóbalhärmtrast
8682,Mimus graysoni,Socorro Mockingbird,socorrohärmtrast
8683,Oreoscoptes montanus,Sage Thrasher,malörtshärmtrast
8684,Toxostoma rufum,Brown Thrasher,rödbrun härmtrast
8685,Toxostoma longirostre,Long-billed Thrasher,långnäbbad härmtrast
8686,Toxostoma guttatum,Cozumel Thrasher,cozumelhärmtrast
8687,Toxostoma cinereum,Grey Thrasher,grå härmtrast
8688,Toxostoma bendirei,Bendire's Thrasher,bendirehärmtrast
8689,Toxostoma ocellatum,Ocellated Thrasher,fläckig härmtrast
8690,Toxostoma curvirostre,Curve-billed Thrasher,bågnäbbad härmtrast
8691,Toxostoma redivivum,California Thrasher,kalifornisk härmtrast
8692,Toxostoma crissale,Crissal Thrasher,brungumpad härmtrast
8693,Toxostoma lecontei,LeConte's Thrasher,mojavehärmtrast
8694,Ramphocinclus brachyurus,White-breasted Thrasher,vitbröstad härmtrast
8695,Melanotis caerulescens,Blue Mockingbird,blå härmtrast
8696,Melanotis hypoleucus,Blue-and-white Mockingbird,blåvit härmtrast
8697,Allenia fusca,Scaly-breasted Thrasher,vattrad härmtrast
8698,Margarops fuscatus,Pearly-eyed Thrasher,vitögd härmtrast
8699,Cinclocerthia ruficauda,Brown Trembler,brun darrhärmtrast
8700,Cinclocerthia gutturalis,Grey Trembler,grå darrhärmtrast
8701,Aplonis metallica,Metallic Starling,metallstare
8702,Aplonis circumscripta,Violet-hooded Starling,violetthuvad stare
8703,Aplonis mystacea,Yellow-eyed Starling,gulögd stare
8704,Aplonis cantoroides,Singing Starling,sångstare
8705,Aplonis crassa,Tanimbar Starling,tanimbarstare
8706,Aplonis feadensis,Atoll Starling,atollstare
8707,Aplonis insularis,Rennell Starling,rennellstare
8708,Aplonis magna,Long-tailed Starling,biakstare
8709,Aplonis brunneicapillus,White-eyed Starling,vitögd stare
8710,Aplonis grandis,Brown-winged Starling,brunvingestare
8711,Aplonis dichroa,Makira Starling,makirastare
8712,Aplonis zelandica,Rusty-winged Starling,rostvingestare
8713,Aplonis striata,Striated Starling,nyakaledonienstare
8714,Aplonis fusca,Tasman Starling,norfolkstare †
8715,Aplonis santovestris,Mountain Starling,santostare
8716,Aplonis panayensis,Asian Glossy Starling,orientstare
8717,Aplonis mysolensis,Moluccan Starling,moluckstare
8718,Aplonis minor,Short-tailed Starling,kortstjärtad stare
8719,Aplonis opaca,Micronesian Starling,mikronesisk stare
8720,Aplonis pelzelni,Pohnpei Starling,pohnpeistare
8721,Aplonis tabuensis,Polynesian Starling,polynesisk stare
8722,Aplonis atrifusca,Samoan Starling,samoastare
8723,Aplonis corvina,Kosrae Starling,kosraestare †
8724,Aplonis mavornata,Mauke Starling,maukestare †
8725,Aplonis cinerascens,Rarotonga Starling,rarotongastare
8726,Mino dumontii,Yellow-faced Myna,papuastare
8727,Mino kreffti,Long-tailed Myna,melanesisk stare
8728,Mino anais,Golden Myna,guldstare
8729,Basilornis celebensis,Sulawesi Myna,sulawesistare
8730,Basilornis galeatus,Helmeted Myna,hjälmstare
8731,Basilornis corythaix,Long-crested Myna,seramstare
8732,Goodfellowia miranda,Apo Myna,mindanaostare
8733,Sarcops calvus,Coleto,coletostare
8734,Streptocitta albicollis,White-necked Myna,vithalsad skatstare
8735,Streptocitta albertinae,Bare-eyed Myna,sulaskatstare
8736,Enodes erythrophris,Fiery-browed Starling,orangebrynad stare
8737,Scissirostrum dubium,Grosbeak Starling,tjocknäbbad stare
8738,Saroglossa spilopterus,Spot-winged Starling,fläckvingad stare
8739,Ampeliceps coronatus,Golden-crested Myna,gulkronad stare
8740,Gracula ptilogenys,Sri Lanka Hill Myna,ceylonbeostare
8741,Gracula religiosa,Common Hill Myna,beostare
8742,Gracula indica,Southern Hill Myna,ghatsbeostare
8743,Gracula robusta,Nias Hill Myna,niasbeostare
8744,Gracula enganensis,Enggano Hill Myna,engganobeostare
8745,Acridotheres grandis,Great Myna,tofsmajna
8746,Acridotheres cristatellus,Crested Myna,kinesisk majna
8747,Acridotheres javanicus,Javan Myna,javamajna
8748,Acridotheres cinereus,Pale-bellied Myna,sulawesimajna
8749,Acridotheres fuscus,Jungle Myna,djungelmajna
8750,Acridotheres albocinctus,Collared Myna,halsbandsmajna
8751,Acridotheres ginginianus,Bank Myna,brinkmajna
8752,Acridotheres tristis,Common Myna,brun majna
8753,Acridotheres melanopterus,Black-winged Starling,svartvingemajna
8754,Acridotheres burmannicus,Vinous-breasted Starling,vithuvad majna
8755,Spodiopsar sericeus,Red-billed Starling,sidenstare
8756,Spodiopsar cineraceus,White-cheeked Starling,gråstare
8757,Gracupica nigricollis,Black-collared Starling,svarthalsad stare
8758,Gracupica contra,Indian Pied Myna,svartvit stare
8759,Gracupica floweri,Siamese Pied Myna,thaistare
8760,Gracupica jalla,Javan Pied Myna,jallastare
8761,Agropsar sturninus,Daurian Starling,amurstare
8762,Agropsar philippensis,Chestnut-cheeked Starling,rödkindad stare
8763,Sturnia sinensis,White-shouldered Starling,mandarinstare
8764,Sturnia malabarica,Chestnut-tailed Starling,gråhuvad stare
8765,Sturnia erythropygia,White-headed Starling,andamanstare
